2025/01/09,00:15:22,2,GUMI_AMAE_100.0,854542,「お前が落としたのはこの金のハンバーガーは？」「「「「「「「いらっしゃいませ！」」」,122,U81871d2aa3a80ab44110271b3fe58509
2025/01/09,00:15:28,3,GUMI_AMAE_100.0,430153,(……………………………………………………………………………,0,U81871d2aa3a80ab44110271b3fe58509
2025/01/09,00:15:36,0,caption,362519,口を開けた白いベルガ,726,U81871d2aa3a80ab44110271b3fe58509
2025/01/09,00:15:46,0,caption,311022,おもちゃのフィギュアが瓶入りのテーブルに載っている。,704,U81871d2aa3a80ab44110271b3fe58509
2025/01/09,00:16:32,0,caption,311022,おもちゃのフィギュアが瓶入りのテーブルに載っている。,704,U81871d2aa3a80ab44110271b3fe58509
2025/01/09,00:16:39,2,GUMI_AMAE_100.0,534275,「お前ら、俺がデブだなんて、、、」,151,U81871d2aa3a80ab44110271b3fe58509
2025/01/09,00:16:44,1,llama,551532,男性は、誰かの誕生日を祝っている。,175,U81871d2aa3a80ab44110271b3fe58509
2025/01/09,00:16:56,1,Neural_Joking_Machine,349940,「お母ちゃん、これ扇風機やて」と思わせて口の中の唾液で、めっちゃめちゃ痛い,191,U81871d2aa3a80ab44110271b3fe58509
2025/01/09,00:17:01,3,GUMI_T_3,412672,ああ〜あ〜、明日月曜日じゃん……,2685,U81871d2aa3a80ab44110271b3fe58509
2025/01/09,00:17:09,0,caption,465896,青いシャツを着て冠をかぶった少女。,0,U81871d2aa3a80ab44110271b3fe58509
2025/01/09,00:17:15,1,GUMI_AMAE_100.0,278348,「お前の好きな女子は、俺のクチバシはデカいんだぜ」,0,U81871d2aa3a80ab44110271b3fe58509
2025/01/09,00:17:21,2,GUMI_T_3,861708,「お前、鼻が高いのってどうやってやるんだ？」,0,U81871d2aa3a80ab44110271b3fe58509
2025/01/09,00:17:26,2,GUMI_AMAE_1.0,822634,カエルの歌姫,1285,U81871d2aa3a80ab44110271b3fe58509
2025/01/09,00:17:31,2,GUMI_AMAE_10.0,595619,この後、彼は見た,0,U81871d2aa3a80ab44110271b3fe58509
2025/01/09,00:17:36,1,GUMI_AMAE_100.0,751928,この画像のどこかにエロ線が見えるだろう？,0,U81871d2aa3a80ab44110271b3fe58509
2025/01/09,00:17:42,2,GUMI_AMAE_100.0,7030,お前ら、今日は俺の家に留学生来な,0,U81871d2aa3a80ab44110271b3fe58509
2025/01/09,00:17:48,2,caption,791694,教室に飛び込む少女たち,0,U81871d2aa3a80ab44110271b3fe58509
2025/01/09,00:17:51,1,caption,794780,芝生でタバコを吸っている子供,589,U81871d2aa3a80ab44110271b3fe58509
